"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 07:30","2023","01","02","07:30","-1.7","","-1.7","","100","","0.0","","34","","12","","","","98.31","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 08:30","2023","01","02","08:30","-2.0","","-2.0","","100","","0.6","","33","","11","","","","98.47","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 09:30","2023","01","02","09:30","-2.2","","-2.2","","100","","0.0","","33","","8","","","","98.61","","","","-5","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 10:30","2023","01","02","10:30","-2.4","","-2.4","","100","","0.0","","32","","10","","","","98.72","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 11:30","2023","01","02","11:30","-2.2","","-2.2","","100","","0.0","","32","","11","","","","98.76","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 12:30","2023","01","02","12:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 13:30","2023","01","02","13:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 14:30","2023","01","02","14:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 15:30","2023","01","02","15:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 16:30","2023","01","02","16:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 17:30","2023","01","02","17:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 18:30","2023","01","02","18:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 19:30","2023","01","02","19:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 20:30","2023","01","02","20:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 21:30","2023","01","02","21:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 22:30","2023","01","02","22:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-02 23:30","2023","01","02","23:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 00:30","2023","01","03","00:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 01:30","2023","01","03","01:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 02:30","2023","01","03","02:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 03:30","2023","01","03","03:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 04:30","2023","01","03","04:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 05:30","2023","01","03","05:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 06:30","2023","01","03","06:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 07:30","2023","01","03","07:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 08:30","2023","01","03","08:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 09:30","2023","01","03","09:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 10:30","2023","01","03","10:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 11:30","2023","01","03","11:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 12:30","2023","01","03","12:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 13:30","2023","01","03","13:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 14:30","2023","01","03","14:30","-1.6","","-2.6","","93","","1.9","","30","","7","","","","99.87","","","","-4","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 15:30","2023","01","03","15:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 16:30","2023","01","03","16:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 17:30","2023","01","03","17:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 18:30","2023","01","03","18:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 19:30","2023","01","03","19:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 20:30","2023","01","03","20:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 21:30","2023","01","03","21:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 22:30","2023","01","03","22:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-03 23:30","2023","01","03","23:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 00:30","2023","01","04","00:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 01:30","2023","01","04","01:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 02:30","2023","01","04","02:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 03:30","2023","01","04","03:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 04:30","2023","01","04","04:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 05:30","2023","01","04","05:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 06:30","2023","01","04","06:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 07:30","2023","01","04","07:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 08:30","2023","01","04","08:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 09:30","2023","01","04","09:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 10:30","2023","01","04","10:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 11:30","2023","01","04","11:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 12:30","2023","01","04","12:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 13:30","2023","01","04","13:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 14:30","2023","01","04","14:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 15:30","2023","01","04","15:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 16:30","2023","01","04","16:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 17:30","2023","01","04","17:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 18:30","2023","01","04","18:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 19:30","2023","01","04","19:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 20:30","2023","01","04","20:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 21:30","2023","01","04","21:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 22:30","2023","01","04","22:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-04 23:30","2023","01","04","23:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 00:30","2023","01","05","00:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 01:30","2023","01","05","01:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 02:30","2023","01","05","02:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 03:30","2023","01","05","03:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 04:30","2023","01","05","04:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 05:30","2023","01","05","05:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 06:30","2023","01","05","06:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 07:30","2023","01","05","07:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 08:30","2023","01","05","08:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 09:30","2023","01","05","09:30","-11.6","","-14.4","","80","","0.0","","28","","7","","","","99.93","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 10:30","2023","01","05","10:30","-10.1","","-13.5","","76","","0.8","","29","","18","","","","100.40","","","","-18","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 11:30","2023","01","05","11:30","-8.8","","-12.7","","73","","0.0","","30","","20","","","","100.39","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 12:30","2023","01","05","12:30","-7.5","","-12.3","","69","","0.0","","30","","15","","","","100.36","","","","-14","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 13:30","2023","01","05","13:30","-7.1","","-12.4","","66","","0.0","","29","","16","","","","100.39","","","","-13","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 14:30","2023","01","05","14:30","-7.0","","-11.9","","68","","0.0","","29","","8","","","","100.36","","","","-11","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 15:30","2023","01","05","15:30","-7.8","","-12.1","","71","","0.0","","26","","13","","","","100.53","","","","-14","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 16:30","2023","01","05","16:30","-9.0","","-12.5","","76","","0.0","","26","","7","","","","100.53","","","","-13","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 17:30","2023","01","05","17:30","-9.3","","-12.5","","78","","0.0","","27","","17","","","","100.60","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 18:30","2023","01","05","18:30","-10.1","","-12.8","","80","","0.0","","27","","10","","","","100.69","","","","-15","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 19:30","2023","01","05","19:30","-10.5","","-13.2","","81","","0.0","","29","","10","","","","100.72","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 20:30","2023","01","05","20:30","-11.1","","-13.6","","82","","0.0","","24","","7","","","","100.76","","","","-15","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 21:30","2023","01","05","21:30","-11.0","","-13.3","","83","","0.0","","27","","6","","","","100.75","","","","-15","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 22:30","2023","01","05","22:30","-11.5","","-13.3","","86","","0.0","","29","","3","","","","100.72","","","","-13","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-05 23:30","2023","01","05","23:30","-11.4","","-13.3","","86","","0.0","","23","","11","","","","100.78","","","","-17","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 00:30","2023","01","06","00:30","-11.2","","-13.2","","85","","0.0","","25","","11","","","","100.75","","","","-17","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 01:30","2023","01","06","01:30","-11.1","","-13.3","","84","","0.0","","26","","9","","","","100.73","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 02:30","2023","01","06","02:30","-11.7","","-13.3","","88","","0.0","","24","","11","","","","100.76","","","","-18","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 03:30","2023","01","06","03:30","-11.6","","-13.1","","89","","0.0","","25","","8","","","","100.77","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 04:30","2023","01","06","04:30","-11.3","","-12.8","","89","","0.0","","25","","8","","","","100.73","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 05:30","2023","01","06","05:30","-11.1","","-12.9","","86","","0.0","","26","","8","","","","100.66","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 06:30","2023","01","06","06:30","-11.5","","-13.1","","88","","0.0","","35","","4","","","","100.64","","","","-14","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 07:30","2023","01","06","07:30","-11.6","","-12.8","","91","","0.0","","26","","8","","","","100.69","","","","-16","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 08:30","2023","01","06","08:30","-12.1","","-13.3","","91","","0.0","","32","","3","","","","100.65","","","","-14","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 09:30","2023","01","06","09:30","-10.3","","-11.9","","88","","0.0","","26","","7","","","","100.76","","","","-14","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 10:30","2023","01","06","10:30","-8.2","","-10.4","","84","","0.0","","32","","11","","","","100.72","","","","-13","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 11:30","2023","01","06","11:30","-7.5","","-10.7","","78","","0.0","","33","","4","","","","100.64","","","","-10","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 12:30","2023","01","06","12:30","-6.3","","-10.1","","75","","0.0","","33","","15","","","","100.57","","","","-12","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 13:30","2023","01","06","13:30","-4.9","","-9.7","","69","","0.0","","30","","7","","","","100.54","","","","-8","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 14:30","2023","01","06","14:30","-4.8","","-8.9","","73","","0.0","","2","","7","","","","100.46","","","","-8","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 15:30","2023","01","06","15:30","-5.3","","-9.0","","75","","0.0","","2","","2","","","","100.45","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 16:30","2023","01","06","16:30","-5.9","","-9.0","","79","","0.0","","34","","2","","","","100.45","","","","-7","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 17:30","2023","01","06","17:30","-6.8","","-9.1","","84","","0.0","","33","","3","","","","100.47","","","","-8","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 18:30","2023","01","06","18:30","-7.5","","-9.3","","87","","0.0","","32","","4","","","","100.44","","","","-10","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 19:30","2023","01","06","19:30","-7.9","","-9.4","","89","","0.0","","32","","3","","","","100.44","","","","-9","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 20:30","2023","01","06","20:30","-7.7","","-8.8","","92","","0.0","","33","","4","","","","100.42","","","","-10","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 21:30","2023","01","06","21:30","-7.2","","-8.3","","92","","0.0","","31","","5","","","","100.43","","","","-10","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 22:30","2023","01","06","22:30","-7.2","","-8.3","","91","","0.0","","33","","4","","","","100.40","","","","-9","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-06 23:30","2023","01","06","23:30","-7.9","","-8.8","","93","","0.0","","33","","5","","","","100.39","","","","-11","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 00:30","2023","01","07","00:30","-7.7","","-8.4","","94","","0.0","","32","","4","","","","100.34","","","","-10","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 01:30","2023","01","07","01:30","-7.5","","-8.3","","94","","0.0","","33","","5","","","","100.26","","","","-10","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 02:30","2023","01","07","02:30","-7.5","","-8.2","","95","","0.0","","33","","4","","","","100.25","","","","-10","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 03:30","2023","01","07","03:30","-7.4","","-8.0","","95","","0.0","","33","","4","","","","100.17","","","","-9","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 04:30","2023","01","07","04:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 05:30","2023","01","07","05:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 06:30","2023","01","07","06:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 07:30","2023","01","07","07:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 08:30","2023","01","07","08:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 09:30","2023","01","07","09:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 10:30","2023","01","07","10:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 11:30","2023","01","07","11:30","-3.6","","-5.1","","90","","0.0","","0","","1","","","","100.04","","","","-4","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 12:30","2023","01","07","12:30","-2.9","","-4.8","","87","","0.0","","6","","2","","","","99.92","","","","-4","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 13:30","2023","01","07","13:30","-2.0","","-4.4","","84","","0.0","","6","","3","","","","99.84","","","","-3","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 14:30","2023","01","07","14:30","-2.1","","-4.5","","84","","0.0","","9","","5","","","","99.80","","","","-4","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 15:30","2023","01","07","15:30","-2.9","","-5.2","","84","","0.0","","7","","1","","","","99.83","","","","-3","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 16:30","2023","01","07","16:30","-3.5","","-5.1","","89","","0.0","","10","","2","","","","99.82","","","","-4","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 17:30","2023","01","07","17:30","-4.3","","-5.7","","90","","0.0","","2","","2","","","","99.84","","","","-5","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 18:30","2023","01","07","18:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 19:30","2023","01","07","19:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 20:30","2023","01","07","20:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 21:30","2023","01","07","21:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 22:30","2023","01","07","22:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-07 23:30","2023","01","07","23:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 00:30","2023","01","08","00:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 01:30","2023","01","08","01:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 02:30","2023","01","08","02:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 03:30","2023","01","08","03:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 04:30","2023","01","08","04:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 05:30","2023","01","08","05:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 06:30","2023","01","08","06:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 07:30","2023","01","08","07:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 08:30","2023","01","08","08:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 09:30","2023","01","08","09:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 10:30","2023","01","08","10:30"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 11:30","2023","01","08","11:30","-2.7","","-3.8","","92","","0.0","","21","","8","","","","99.12","","","","-6","","NA"
"-53.97","48.56","TERRA NOVA NAT PARK CS","8403851","2023-01-08 12:30","2023","01","08","12:30","-2.2","","-3.5","","91","","0.0","","21","","7","","","","99.02","","","","-5","","NA"
